               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 107,            0.025349,            0.012291,           0.0034443,             0.81507,             0.79478,             0.77471,             0.58712,            0.019849,           0.0084676,            0.027409,           0.0034413,           0.0034413,           0.0034413
                 108,            0.024948,            0.012172,           0.0029558,             0.81458,             0.80087,             0.77984,             0.58853,             0.01971,            0.008466,            0.027545,           0.0033794,           0.0033794,           0.0033794
                 109,            0.024943,            0.012115,           0.0031556,             0.81957,             0.80153,             0.78192,             0.59235,            0.019645,           0.0084652,            0.027068,           0.0033175,           0.0033175,           0.0033175
                 110,            0.024992,            0.012201,           0.0032044,             0.80554,              0.8067,             0.78188,             0.59335,             0.01966,           0.0084636,            0.027076,           0.0032556,           0.0032556,           0.0032556
                 111,            0.024825,            0.011973,           0.0031948,              0.8135,             0.80234,             0.78036,              0.5889,            0.019588,           0.0084074,            0.027653,           0.0031938,           0.0031938,           0.0031938
                 112,            0.024983,            0.012206,            0.003061,             0.82293,              0.7977,             0.78089,             0.58918,            0.019567,           0.0083772,             0.02773,           0.0031319,           0.0031319,           0.0031319
                 113,            0.024474,            0.012121,           0.0030526,             0.82239,             0.80062,             0.78077,             0.58776,            0.019563,           0.0083672,            0.027828,             0.00307,             0.00307,             0.00307
                 114,            0.024558,            0.011993,           0.0029002,             0.81377,             0.80579,              0.7795,             0.59027,            0.019534,           0.0083938,            0.027978,           0.0030081,           0.0030081,           0.0030081
                 115,            0.024326,            0.011844,           0.0029349,             0.81869,             0.80122,             0.78143,             0.59012,            0.019451,           0.0083455,            0.027971,           0.0029462,           0.0029462,           0.0029462
                 116,            0.024386,            0.012051,           0.0029279,             0.81177,             0.80472,             0.78115,             0.59297,            0.019328,           0.0083416,            0.027924,           0.0028844,           0.0028844,           0.0028844
                 117,             0.02441,            0.011896,           0.0029692,             0.81557,             0.80907,             0.78422,             0.59635,            0.019278,           0.0083001,            0.027866,           0.0028225,           0.0028225,           0.0028225
                 118,             0.02417,            0.011998,           0.0029518,             0.82245,             0.80513,               0.789,             0.60215,            0.019251,           0.0082518,            0.027594,           0.0027606,           0.0027606,           0.0027606
                 119,             0.02431,             0.01176,           0.0028859,             0.81424,             0.80935,              0.7858,             0.59835,            0.019111,           0.0082251,            0.027833,           0.0026987,           0.0026987,           0.0026987
                 120,            0.024159,            0.011906,           0.0028145,             0.81478,             0.81141,             0.78228,               0.598,            0.019031,           0.0082063,            0.027977,           0.0026369,           0.0026369,           0.0026369
                 121,            0.024095,            0.011834,           0.0030958,             0.81302,             0.81644,             0.78146,             0.59757,            0.019022,           0.0082117,            0.028075,            0.002575,            0.002575,            0.002575
                 122,            0.023882,            0.011843,           0.0028746,             0.81584,             0.80786,             0.78028,              0.5983,            0.018958,           0.0082367,            0.028115,           0.0025131,           0.0025131,           0.0025131
                 123,            0.023734,            0.011793,            0.002862,             0.81514,              0.8114,             0.78045,             0.59747,            0.018931,           0.0082122,             0.02812,           0.0024513,           0.0024513,           0.0024513
                 124,            0.023846,            0.011644,           0.0026947,             0.81973,             0.80487,             0.77931,             0.59925,            0.018868,           0.0082121,            0.028163,           0.0023894,           0.0023894,           0.0023894
                 125,            0.023809,            0.011607,           0.0027066,               0.818,             0.80685,             0.78055,             0.59976,             0.01884,           0.0082098,            0.028173,           0.0023275,           0.0023275,           0.0023275
                 126,            0.023599,             0.01155,           0.0025108,             0.81683,             0.80718,             0.77802,             0.59919,            0.018854,           0.0082348,             0.02823,           0.0022656,           0.0022656,           0.0022656
                 127,             0.02355,            0.011549,            0.002795,             0.81963,             0.80062,             0.77861,             0.59867,            0.018858,           0.0082303,            0.028168,           0.0022038,           0.0022038,           0.0022038
                 128,            0.023375,            0.011381,           0.0027831,             0.82922,             0.79612,             0.77874,             0.60074,            0.018808,           0.0081883,            0.027878,           0.0021419,           0.0021419,           0.0021419
                 129,            0.023509,            0.011607,           0.0028646,             0.83035,             0.79735,             0.78219,             0.60277,            0.018763,           0.0081559,             0.02772,             0.00208,             0.00208,             0.00208
                 130,            0.022972,             0.01143,           0.0026172,             0.82687,             0.80229,             0.78424,             0.60539,            0.018703,           0.0081347,            0.027848,           0.0020181,           0.0020181,           0.0020181
                 131,            0.023317,            0.011581,           0.0025769,              0.8251,             0.80329,             0.78367,             0.60572,            0.018674,           0.0081263,            0.028017,           0.0019563,           0.0019563,           0.0019563
                 132,            0.023094,            0.011506,           0.0026538,             0.82197,             0.80738,             0.78342,             0.60445,            0.018647,           0.0081346,             0.02831,           0.0018944,           0.0018944,           0.0018944
                 133,            0.023403,            0.011367,             0.00289,             0.82729,             0.80578,              0.7844,             0.60427,            0.018645,           0.0081372,            0.028224,           0.0018325,           0.0018325,           0.0018325
                 134,            0.023243,            0.011542,           0.0026647,              0.8251,             0.80225,             0.78417,             0.60671,            0.018621,           0.0081412,            0.028305,           0.0017706,           0.0017706,           0.0017706
                 135,             0.02286,            0.011405,           0.0025782,             0.82654,             0.80113,             0.78471,             0.60657,            0.018617,            0.008148,            0.028319,           0.0017087,           0.0017087,           0.0017087
                 136,            0.023055,            0.011483,           0.0025855,             0.82666,             0.80037,             0.78426,             0.60563,             0.01859,           0.0081276,             0.02842,           0.0016469,           0.0016469,           0.0016469
                 137,            0.022583,            0.011048,           0.0024412,             0.82753,             0.80138,             0.78633,             0.60647,            0.018572,           0.0081132,            0.028569,            0.001585,            0.001585,            0.001585
                 138,            0.022621,            0.011201,            0.002382,              0.8259,             0.79887,              0.7871,             0.60713,            0.018528,           0.0080979,            0.028781,           0.0015231,           0.0015231,           0.0015231
                 139,             0.02248,            0.011222,           0.0023875,             0.82357,             0.80267,              0.7855,             0.60658,            0.018519,           0.0081033,            0.028952,           0.0014612,           0.0014612,           0.0014612
                 140,            0.022355,            0.011105,            0.002362,             0.82101,             0.80148,             0.78379,             0.60549,             0.01849,            0.008106,            0.029163,           0.0013994,           0.0013994,           0.0013994
                 141,            0.022309,            0.011192,           0.0025703,             0.81637,             0.80546,             0.78266,             0.60545,            0.018476,           0.0081089,            0.029141,           0.0013375,           0.0013375,           0.0013375
                 142,            0.022169,            0.011162,           0.0023421,             0.81762,             0.80534,              0.7811,             0.60362,             0.01846,           0.0081044,            0.029168,           0.0012756,           0.0012756,           0.0012756
                 143,            0.022211,            0.011088,           0.0023869,             0.81684,             0.80347,              0.7807,             0.60314,            0.018444,           0.0080999,            0.029208,           0.0012138,           0.0012138,           0.0012138
                 144,            0.021894,            0.011165,           0.0024964,             0.81848,             0.80753,             0.77923,              0.6014,            0.018448,           0.0080924,            0.029287,           0.0011519,           0.0011519,           0.0011519
                 145,             0.02241,            0.011144,            0.002357,             0.80964,             0.81095,             0.77929,             0.60214,            0.018442,           0.0080939,            0.029346,             0.00109,             0.00109,             0.00109
                 146,            0.021939,            0.011094,           0.0023576,             0.82802,             0.79363,             0.77907,             0.60207,             0.01843,           0.0080878,            0.029405,           0.0010281,           0.0010281,           0.0010281
                 147,             0.02184,            0.010789,           0.0020786,              0.8287,             0.79196,              0.7801,             0.60265,            0.018411,           0.0080886,            0.029504,          0.00096625,          0.00096625,          0.00096625
                 148,            0.022098,            0.011038,           0.0023039,             0.80673,             0.81707,             0.77993,             0.60386,            0.018364,           0.0080851,            0.029565,          0.00090438,          0.00090438,          0.00090438
                 149,            0.022018,            0.010905,            0.002116,             0.80751,             0.81607,             0.78056,             0.60439,            0.018342,           0.0080752,            0.029637,           0.0008425,           0.0008425,           0.0008425
                 150,            0.021952,            0.010941,           0.0023549,             0.81052,             0.81385,             0.78141,             0.60504,            0.018314,           0.0080631,              0.0297,          0.00078062,          0.00078062,          0.00078062
                 151,            0.021439,            0.010756,           0.0023975,             0.81448,             0.81059,             0.78181,             0.60713,            0.018285,           0.0080476,             0.02972,          0.00071875,          0.00071875,          0.00071875
                 152,            0.021766,            0.010685,           0.0022481,             0.82818,              0.7982,             0.78177,              0.6072,            0.018265,           0.0080407,            0.029737,          0.00065688,          0.00065688,          0.00065688
                 153,            0.021263,            0.010767,           0.0018961,              0.8257,             0.80062,             0.78144,              0.6086,            0.018253,           0.0080401,            0.029819,            0.000595,            0.000595,            0.000595
                 154,            0.021335,            0.010719,           0.0021492,              0.8176,             0.81066,             0.78065,             0.60715,            0.018244,           0.0080393,            0.029942,          0.00053312,          0.00053312,          0.00053312
